# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=0
# stan_version_patch=0
# data=models/bugs_examples/vol1/blocker/blocker.Rdata
# init=random initialization
# append_samples=0
# seed=1336062631
# chain_id=1
# iter=2000
# warmup=1000
# thin=1
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
#
lp__,treedepth__,d,sigmasq_delta,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,delta.21,delta.22,sigma_delta
-5932.13,5,-0.159296,0.0387891,-1.69597,-2.10828,-2.06349,-2.43493,-2.44442,-2.665,-1.66177,-2.29252,-1.85546,-2.16019,-2.23901,-1.72754,-2.77034,-2.64223,-1.52141,-1.61364,-2.21194,-2.93762,-3.6048,-1.53076,-2.10754,-2.78558,-0.28456,-0.298098,-0.651499,-0.190343,-0.217639,-0.205973,-0.562987,-0.0795051,-0.423915,-0.469694,-0.357861,0.0544658,-0.229921,-0.0701163,0.234295,-0.377705,0.0393636,-0.272314,-0.254273,-0.469382,-0.301726,-0.258697,0.19695
-5929.52,4,-0.266825,0.0365666,-1.81775,-2.08775,-2.11431,-2.34881,-2.47047,-2.39216,-1.75755,-2.02939,-1.95908,-2.17167,-2.37088,-1.47946,-3.16137,-2.80209,-1.38196,-1.5392,-1.55334,-2.72504,-3.40308,-1.58794,-1.97162,-2.75219,-0.553551,-0.51067,-0.189959,-0.331743,-0.0373199,-0.377064,-0.269091,-0.409615,-0.315226,-0.445612,-0.149352,-0.525031,-0.561885,0.18179,-0.59684,-0.353436,-0.327535,-0.304723,-0.237186,-0.28833,-0.526453,-0.462765,0.191224
-5933.27,4,-0.236351,0.0306789,-1.69173,-2.08653,-2.017,-2.34515,-2.49423,-2.38046,-1.53604,-2.08514,-1.80083,-2.36663,-2.15272,-1.4485,-3.2329,-2.88108,-1.25123,-1.40355,-2.12292,-2.79457,-3.51213,-1.47775,-1.89737,-2.82762,-0.924315,-0.798803,-0.412074,-0.133566,-0.156955,-0.359648,-0.605827,-0.176283,-0.545735,-0.171698,-0.455025,-0.00341022,-0.653515,0.0231808,-0.228549,-0.315095,-0.2188,-0.237571,-0.328327,-0.299967,-0.721077,-0.379362,0.175154
-5934.7,4,-0.241863,0.0296569,-1.81619,-2.08905,-2.90011,-2.43287,-2.18348,-1.41366,-1.82458,-2.02832,-1.97192,-2.21379,-2.45552,-1.30804,-2.78376,-2.85002,-1.24157,-1.59756,-1.80135,-2.70699,-3.42516,-1.47469,-2.30052,-2.97595,-0.784032,-0.0966738,-0.192451,-0.402436,-0.207482,-0.422426,-0.409897,-0.233097,-0.196235,-0.383536,-0.117132,-0.267579,-0.23379,-0.0131527,-0.2616,-0.267954,-0.384315,-0.428434,-0.241276,-0.329757,-0.13271,-0.676578,0.172212
-5937.43,4,-0.199346,0.0351788,-1.87568,-2.38907,-2.8941,-2.41044,-2.37916,-1.43152,-1.65838,-1.99788,-2.02751,-2.25175,-2.37026,-1.27367,-2.79601,-2.78833,-1.25298,-1.40911,-1.94965,-2.80551,-3.16904,-1.64758,-2.20505,-2.83406,-0.679144,-0.0784111,-0.176116,-0.0310364,-0.419893,-0.374058,-0.305185,-0.353798,-0.097757,-0.29597,-0.202795,-0.12559,-0.496872,-0.0199995,-0.280678,-0.0641321,-0.603625,-0.227638,-0.293995,-0.143196,-0.124101,-0.532138,0.18756
-5939.62,4,-0.288168,0.0404541,-1.98687,-1.94487,-1.52905,-2.42465,-3.00469,-2.56056,-1.7106,-2.20772,-1.83864,-2.2021,-2.22855,-1.32914,-3.2232,-2.91296,-1.51087,-1.37023,-2.871,-2.8237,-3.3,-1.39931,-1.87599,-2.97244,-0.114582,-0.4446,-0.321106,-0.301225,-0.0669021,-0.52278,-0.430997,-0.0591653,-0.60979,-0.339306,-0.361359,-0.0750954,-0.370478,-0.0209502,-0.383681,-0.192614,0.3943,-0.118961,-0.418017,-0.498737,-0.533984,-0.413626,0.201132
-5936.64,4,-0.169228,0.0319352,-2.09883,-2.25901,-2.15874,-2.39178,-1.97866,-2.4217,-1.66634,-2.05589,-2.03632,-2.29464,-2.49097,-1.46712,-2.60713,-2.91184,-1.35546,-1.55104,-1.91467,-2.51797,-3.76398,-1.82185,-2.43367,-3.02158,-0.460531,-0.163921,-0.331088,-0.318237,-0.281131,0.131853,-0.349283,-0.222513,-0.146949,-0.224578,-0.0323006,-0.08237,-0.260054,-0.0271696,-0.191527,-0.259222,-0.00461167,-0.584073,0.435309,-0.127454,0.0634201,-0.329239,0.178704
-5937.51,4,-0.33389,0.0549485,-1.51878,-2.0168,-1.71298,-2.46633,-2.70562,-2.47204,-1.68309,-2.19866,-2.21314,-2.17941,-2.39622,-1.54992,-3.43555,-2.65143,-1.35235,-1.60895,-2.20046,-2.94211,-3.80692,-1.00027,-1.97332,-2.99587,-0.553424,-0.622199,-0.376785,-0.144173,-0.118697,-0.528396,-0.401726,-0.058881,-0.0110446,-0.413762,-0.124728,-0.127222,-0.257579,-0.0386004,-0.395703,0.0480576,-0.29498,-0.218076,-0.281147,-0.5042,-0.572057,-0.141182,0.234411
-5937.09,4,-0.175805,0.0296788,-2.73871,-2.04658,-2.77486,-2.42941,-2.69289,-2.13513,-1.77264,-1.94532,-1.80202,-2.20832,-2.00965,-1.55433,-2.6045,-2.88362,-1.60541,-1.16635,-2.24531,-2.83878,-3.45914,-1.68234,-2.23901,-2.77743,-0.175236,-0.180776,-0.24401,-0.071526,-0.172717,-0.0570543,-0.379061,-0.3515,-0.499777,-0.329218,-0.456936,-0.0748453,-0.496154,0.0433037,-0.0639897,-0.33603,-0.225722,0.0802515,-0.0897291,0.248954,-0.0768031,-0.424337,0.172275
-5935.53,4,-0.419134,0.0301368,-2.35591,-2.14089,-1.46865,-2.37196,-2.4258,-2.57012,-1.73812,-2.29889,-2.09596,-2.21958,-2.34206,-1.48607,-3.2687,-2.81273,-1.19359,-1.3846,-2.0148,-2.81358,-2.71687,-1.22049,-1.79885,-2.80982,-0.482098,-0.455494,-0.681803,-0.157286,-0.578219,-0.520485,-0.49408,0.027322,-0.196006,-0.31577,-0.38576,-0.40091,-0.286841,-0.150062,-0.535091,-0.111284,-0.484114,-0.399366,-0.508992,-0.424779,-0.75045,-0.554078,0.1736
-5937.5,4,-0.346124,0.0379394,-2.09246,-1.95751,-2.24789,-2.4098,-2.36962,-1.97049,-1.73465,-1.94986,-1.63659,-2.12002,-2.3354,-1.60206,-2.35357,-2.98332,-1.26668,-1.46284,-1.87372,-3.19562,-3.14731,-1.60295,-2.21622,-2.85056,-0.329964,-0.432293,-0.259957,-0.377783,-0.0721267,-0.266316,-0.163929,-0.449474,-0.692978,-0.343715,-0.380807,-0.253718,-0.873199,0.0664927,-0.0303922,-0.34249,-0.359166,0.051625,-0.321092,-0.200767,-0.126873,-0.660808,0.19478
-5940.4,4,-0.19422,0.0462739,-2.15101,-1.86501,-1.98161,-2.54037,-2.57908,-2.4053,-1.528,-2.03348,-1.75127,-2.14244,-2.35775,-1.38856,-2.56068,-2.76387,-1.86995,-1.33108,-2.15316,-3.38179,-3.37292,-1.5768,-2.49689,-2.90243,-0.230902,-0.559713,-0.093114,-0.0991674,0.00189449,-0.311466,-0.788489,-0.221048,-0.57717,-0.288733,-0.0493473,-0.101768,-1.15061,0.234995,-0.0327232,-0.329202,-0.0918827,-0.0203758,0.0778025,-0.0974045,-0.088344,-0.196233,0.215114
-5934.66,4,-0.187442,0.0442197,-2.30499,-1.907,-1.91575,-2.31354,-2.67001,-2.17705,-1.59406,-2.0411,-1.74953,-2.27551,-2.33153,-1.62057,-2.56447,-2.93301,-1.70348,-1.39547,-2.1075,-3.49986,-3.46437,-1.64057,-2.30534,-2.94372,-0.177456,-0.512764,-0.171393,-0.239199,0.100788,-0.4883,-0.602084,-0.140526,-0.669153,-0.445488,-0.109178,-0.163379,-0.753241,0.0501719,0.0031027,-0.405462,-0.229872,-0.0840581,0.251353,-0.133145,-0.0762386,-0.412298,0.210285
-5928.13,4,-0.173903,0.0409253,-2.67051,-2.1397,-2.51235,-2.35105,-2.43973,-2.41834,-1.77135,-1.87797,-1.98929,-2.32999,-2.31147,-1.4031,-2.90463,-2.6126,-1.2454,-1.58423,-2.13328,-3.42669,-3.50032,-1.45544,-1.99719,-2.77829,0.226834,-0.0833502,-0.20272,-0.135839,-0.0448462,-0.182169,-0.276373,-0.195349,-0.119961,-0.248502,-0.204678,-0.0211047,-0.703471,-0.00318694,-0.241006,0.0251602,0.14078,0.0314635,-0.108844,-0.212603,-0.491878,-0.373955,0.2023
-5927.09,4,-0.203769,0.0279552,-2.69394,-2.22929,-1.858,-2.47381,-2.40461,-2.17633,-1.6009,-2.37773,-1.82639,-2.31688,-2.39878,-1.30863,-3.12756,-2.89058,-1.3624,-1.34408,-2.63894,-2.7161,-3.31883,-1.45055,-2.18432,-2.91201,-0.478854,-0.422802,-0.21998,-0.216999,-0.13505,-0.206469,-0.579979,-0.1189,-0.323408,-0.374797,-0.0696828,-0.0900649,-0.187025,0.239679,-0.102229,-0.251369,0.649922,-0.291953,-0.11897,-0.169158,-0.239549,-0.271425,0.167198
-5933.18,4,-0.276142,0.0472478,-2.67441,-2.17767,-1.71149,-2.37216,-2.3576,-2.08795,-1.68954,-2.12233,-2.12363,-2.3297,-2.27779,-1.46599,-3.29879,-3.00351,-1.14199,-1.35667,-2.64939,-2.60086,-3.22546,-1.64727,-2.23597,-3.02822,0.0925405,-0.347396,-0.418818,-0.18626,-0.164383,-0.258518,-0.582199,-0.0134748,-0.256016,-0.325046,-0.401251,-0.431906,-0.111252,0.249201,-0.510984,-0.485653,0.57112,-0.0773804,-0.181641,-0.161179,-0.243743,-0.316599,0.217366
-5929.95,4,-0.28321,0.0260649,-2.50121,-2.35034,-2.27398,-2.31892,-2.37285,-2.32919,-1.68934,-2.05759,-1.84735,-2.35472,-2.3346,-1.76434,-2.75642,-2.61133,-1.51437,-1.81058,-2.16698,-3.08695,-3.05538,-1.48582,-2.06535,-2.87068,-0.52853,-0.375633,-0.217065,-0.45306,-0.0648466,-0.298956,-0.277121,-0.134286,-0.452815,-0.30604,-0.199547,-0.138358,-0.523653,-0.147865,-0.096252,0.0790383,0.123324,-0.293505,-0.43332,-0.440995,-0.628514,-0.525797,0.161446
-5932.25,4,-0.187975,0.0344994,-2.46021,-2.64053,-2.17047,-2.35697,-2.41392,-1.99707,-1.55318,-2.18224,-1.7517,-2.20747,-2.17581,-1.47981,-2.81422,-2.93885,-1.42425,-1.67483,-2.12099,-3.11445,-3.16917,-1.45247,-2.0363,-2.89242,-0.00867702,-0.209796,-0.300005,-0.105949,-0.398298,-0.466543,-0.424746,-0.263512,-0.42633,-0.384188,-0.467937,0.160073,-0.411129,0.128889,-0.162338,0.293983,0.0153452,-0.259106,-0.2716,-0.337216,-0.207628,-0.339408,0.18574
-5929.69,4,-0.296539,0.0232892,-2.81964,-2.32975,-2.34959,-2.35858,-2.49355,-1.86453,-1.74906,-1.90604,-2.0273,-2.26996,-2.12174,-1.57774,-2.80277,-2.86259,-1.23837,-1.52766,-1.78861,-3.08749,-3.38768,-1.0736,-2.32165,-3.0243,-0.54238,-0.129076,0.0583373,-0.255857,0.0322911,-0.429934,-0.29892,-0.250742,-0.258009,-0.259796,-0.401275,-0.317192,-0.398275,0.250783,-0.308936,-0.387449,-0.316044,0.106023,-0.179799,-0.45825,-0.36204,-0.201453,0.152608
-5930.97,4,-0.286952,0.0344401,-2.41115,-2.04379,-1.78487,-2.46274,-2.34976,-1.97255,-1.67484,-2.28295,-1.98959,-2.27751,-2.43628,-1.60787,-3.23236,-2.67458,-1.44177,-1.60425,-2.31346,-2.41515,-2.98474,-1.69612,-2.0414,-2.71869,0.226823,-0.26039,-0.580739,-0.202262,-0.212228,-0.356816,-0.33191,-0.0871939,-0.26267,-0.262072,-0.081201,-0.174578,-0.291677,-0.089878,-0.172127,-0.177336,0.0906723,-0.699432,-0.304974,0.257059,-0.643641,-0.389924,0.18558
-5926.48,4,-0.264602,0.0178482,-2.2994,-2.49788,-2.00961,-2.30146,-2.40054,-1.72307,-1.80608,-2.08474,-2.04096,-2.27655,-2.10472,-1.52445,-2.81396,-2.84108,-1.22718,-1.44533,-2.08613,-3.09156,-3.79585,-1.24165,-2.2075,-2.99359,-0.663527,-0.503788,-0.321142,-0.217647,-0.0176949,-0.231026,-0.461659,-0.295999,-0.328203,-0.312695,-0.373638,-0.284711,-0.366133,0.132373,-0.245849,-0.368912,-0.152595,0.182959,-0.157447,-0.519292,-0.364942,-0.299901,0.133597
-5928.54,4,-0.103192,0.0212277,-1.92251,-2.09515,-1.98737,-2.3145,-2.52237,-1.72287,-1.82347,-2.22807,-1.92113,-2.15765,-2.46613,-1.39734,-3.01807,-2.76153,-1.42624,-1.53836,-1.9033,-2.743,-3.74454,-1.65545,-2.2398,-2.90059,0.155796,0.0200712,-0.285028,-0.127599,-0.233544,-0.405693,-0.453489,0.0939852,-0.229457,-0.302168,0.0158169,-0.0951481,-0.186517,0.180099,-0.244289,-0.00763157,-0.17049,-0.130667,-0.0511557,0.0533209,-0.197965,-0.363702,0.145697
-5927.5,4,-0.232699,0.0286442,-2.57237,-2.40026,-2.15762,-2.32965,-2.41909,-2.58014,-1.66893,-2.01009,-1.88023,-2.20353,-2.20512,-1.42004,-2.98298,-2.62045,-1.3883,-1.34384,-1.94807,-2.96692,-3.69861,-1.25963,-1.97696,-3.07121,-0.739414,-0.451259,-0.370893,-0.479599,-0.104397,-0.183957,-0.384261,-0.308402,-0.212571,-0.300998,-0.453814,-0.0982298,-0.558854,-0.0354458,-0.415544,-0.235898,-0.0760804,-0.271444,-0.297972,-0.417037,-0.562071,-0.414721,0.169246
-5927.41,4,-0.232204,0.019567,-2.34421,-2.1799,-1.89595,-2.50946,-2.36633,-2.07873,-1.59487,-2.1227,-1.77856,-2.21498,-2.39203,-1.6351,-2.52869,-2.90553,-1.30804,-1.51535,-2.16746,-2.82976,-3.14402,-1.73877,-2.20909,-2.69908,-0.0633757,-0.22537,-0.330557,-0.135381,-0.310614,-0.534647,-0.419369,-0.210455,-0.650169,-0.413156,-0.206505,-0.339576,-0.344099,0.0505207,-0.128493,-0.440032,-0.291698,-0.28959,-0.279207,-0.13349,-0.272513,-0.578368,0.139882
-5926.03,4,-0.330876,0.0235593,-1.65814,-2.10617,-2.14246,-2.42009,-2.41252,-2.24093,-1.77592,-2.08867,-1.96775,-2.22486,-2.21125,-1.43269,-2.97823,-2.88951,-1.43866,-1.53574,-1.92792,-2.69975,-3.27437,-1.20291,-2.24311,-2.89706,-0.568392,-0.395195,-0.245847,-0.183886,-0.135066,-0.0665154,-0.581517,-0.216129,-0.00216329,-0.34032,-0.35551,-0.185822,-0.627329,0.222004,-0.329903,-0.157899,-0.24434,-0.226748,-0.210746,-0.404218,-0.477259,-0.199385,0.15349
-5930.41,4,-0.316634,0.0254154,-2.28087,-1.99446,-1.76759,-2.22928,-2.40859,-1.82736,-1.60424,-2.14937,-1.70264,-2.1525,-2.44072,-1.41718,-3.04833,-2.54317,-1.32877,-1.28934,-1.84102,-2.55513,-3.17428,-1.59841,-2.10438,-2.68489,-0.382085,-0.398328,-0.450955,-0.535957,-0.392844,-0.683482,-0.30276,-0.184654,-0.609123,-0.494068,-0.240677,-0.267628,-0.13805,-0.272362,-0.392854,-0.317136,-0.281811,-0.455855,-0.47882,0.0146217,-0.515834,-0.459725,0.159422
-5933.47,4,-0.248555,0.0218554,-1.57975,-2.45551,-2.22058,-2.26934,-2.41426,-2.44103,-1.76762,-2.1065,-2.28237,-2.18286,-2.24498,-1.45267,-2.56243,-2.92274,-1.41518,-1.58271,-2.06907,-3.18721,-3.30521,-1.16489,-2.302,-2.74827,-0.462334,-0.234107,-0.29194,-0.408778,0.130586,0.00795714,-0.48845,-0.286052,-0.118573,-0.356493,-0.295772,-0.199758,-0.870309,0.332714,-0.33235,-0.0875996,-0.224439,-0.199423,-0.233014,-0.338345,-0.343406,-0.118661,0.147836
-5929.59,4,-0.284873,0.0199251,-2.36377,-1.71519,-1.78888,-2.37301,-2.34429,-1.73475,-1.71555,-2.34245,-1.57306,-2.1795,-2.34761,-1.59359,-3.30539,-2.64028,-1.4024,-1.3188,-1.96682,-2.83068,-3.323,-1.67956,-2.25868,-2.69208,-0.224058,-0.455653,-0.546303,-0.32111,-0.275152,-0.49543,-0.305269,0.0464923,-0.481641,-0.392268,-0.16706,-0.0405149,0.20629,-0.184445,-0.361882,-0.368824,-0.109776,-0.186114,-0.376784,-0.0783093,-0.452679,-0.563405,0.141156
-5928.82,4,-0.24248,0.0258082,-3.38994,-2.37465,-1.86781,-2.35852,-2.50762,-2.04175,-1.58911,-1.92385,-2.14138,-2.16203,-2.19928,-1.2911,-3.02671,-2.87332,-1.35246,-1.65254,-1.98012,-2.74149,-3.50723,-1.26678,-2.10662,-3.09179,-0.163578,-0.16463,-0.387635,-0.286767,-0.0975156,-0.0868528,-0.733105,-0.389859,-0.138519,-0.251021,-0.306141,-0.277977,-0.588246,0.200018,-0.236742,-0.0107175,0.0855254,-0.26309,-0.120041,-0.37622,-0.398185,-0.106191,0.160649
-5936.6,4,-0.258488,0.0292965,-3.45136,-2.22566,-2.03306,-2.52297,-2.4859,-1.61899,-1.47362,-1.93798,-1.93116,-2.38398,-2.09909,-1.30996,-2.9658,-2.80261,-1.32999,-1.73936,-2.18811,-2.66663,-3.60474,-1.46077,-1.93664,-3.11779,-0.369852,-0.38779,-0.36087,-0.177206,-0.211913,-0.189846,-0.770782,-0.425927,-0.337044,-0.250237,-0.428467,-0.384496,-0.797931,0.00752077,-0.202978,0.121388,0.146246,-0.283004,-0.0514714,-0.179894,-0.474288,-0.162863,0.171162
-5935.88,4,-0.131711,0.0283594,-3.07041,-2.2613,-2.72108,-2.41288,-2.62185,-2.06243,-1.78333,-2.1676,-1.98456,-2.217,-2.66527,-1.77993,-3.01674,-2.92346,-1.3502,-1.56489,-2.31014,-2.7403,-3.34898,-1.71169,-2.41272,-2.92574,0.0987989,-0.0614511,-0.220159,-0.337599,0.196911,-0.461269,-0.174097,-0.0562854,-0.314946,-0.413196,0.148237,0.312226,-0.749252,0.107283,-0.295334,-0.169854,0.0127247,-0.0775384,-0.267831,-0.0209473,-0.152648,-0.262781,0.168403
-5937.6,4,-0.39721,0.0425979,-2.83429,-1.88463,-1.8893,-2.3361,-2.26702,-2.06874,-1.82325,-2.08628,-1.94109,-2.13476,-2.17516,-1.2423,-3.10015,-2.71714,-1.45543,-1.46963,-1.87377,-3.2785,-3.32087,-1.29064,-2.12016,-2.93981,-0.217263,-0.712831,-0.274701,-0.541214,-0.301653,-0.0744291,-0.105563,-0.432535,-0.481748,-0.489757,-0.616611,-0.280454,-0.110242,0.0951414,-0.358879,-0.334721,-0.408808,-0.25288,-0.24758,-0.560305,-0.669538,-0.373094,0.206393
-5932.06,4,-0.116556,0.038546,-2.61064,-2.12258,-2.42122,-2.59502,-2.52126,-2.26778,-1.55539,-2.31276,-1.88843,-2.30563,-2.55258,-1.65196,-2.95508,-2.7899,-1.09211,-1.42103,-1.99716,-3.10134,-3.73986,-1.67105,-2.01775,-2.69492,-0.240631,-0.377478,-0.161219,-0.0653271,-0.147187,-0.349347,-0.786338,-0.0216858,-0.212816,-0.170915,-0.0812233,0.140674,-0.442999,0.199148,-0.327776,-0.0876619,-0.087434,0.099947,0.298506,-0.0857853,-0.164956,-0.634841,0.196331
-5936.67,4,-0.0834088,0.0281924,-2.44608,-2.25589,-2.28639,-2.31134,-2.46015,-1.96295,-1.89309,-1.99405,-2.13375,-2.14844,-2.45302,-1.45957,-3.27901,-2.77739,-1.72597,-1.73221,-2.1644,-3.03574,-3.41527,-1.32661,-2.26405,-3.17471,0.0433415,0.0035598,0.094779,-0.364063,-0.119344,0.0330622,-0.0695297,-0.293776,-0.261495,-0.395689,-0.226456,-0.23368,0.304973,0.0831169,0.0232056,0.0193743,0.0649619,-0.138832,-0.0305717,-0.0237328,-0.26296,0.166037,0.167906
-5929.72,4,-0.0842079,0.0280522,-2.28509,-2.3651,-2.18637,-2.5512,-2.26061,-2.28683,-1.75586,-2.17339,-1.68055,-2.25802,-2.28197,-1.58362,-3.5082,-2.82957,-1.51512,-1.78393,-2.38197,-3.24722,-3.9695,-1.57225,-1.97186,-3.01444,-0.0156335,-0.164453,0.0447045,-0.0683578,-0.223347,-0.0497127,-0.314452,-0.221009,-0.127971,-0.10886,-0.000803857,-0.0247749,-0.0360762,0.025616,-0.0517709,-0.180654,0.171355,-0.00527342,0.147743,-0.0490012,-0.427379,-0.203605,0.167488
-5928.19,4,-0.172577,0.0231739,-2.27317,-2.14169,-2.10048,-2.43664,-2.2518,-2.68756,-1.76181,-2.10539,-1.68924,-2.37504,-2.37552,-1.4226,-3.30043,-2.84829,-1.37482,-1.80703,-2.30311,-3.4043,-4.02797,-1.38793,-1.89544,-2.95709,-0.403622,-0.141074,-0.236057,-0.0884361,-0.325486,-0.168836,-0.23026,-0.250323,-0.342116,-0.268412,-0.254588,-0.283256,-0.10593,-0.0211688,-0.0594229,-0.139538,0.131732,-0.135152,-0.0797623,-0.143939,-0.544702,-0.0839461,0.15223
-5920.6,4,-0.175075,0.0108535,-2.16258,-2.3873,-2.1749,-2.52078,-2.55189,-2.5632,-1.68095,-2.0508,-2.06419,-2.27047,-2.3471,-1.51413,-2.73604,-2.8875,-1.25348,-1.59348,-1.68169,-2.75517,-3.662,-1.27872,-2.2707,-2.7432,-0.461879,-0.487604,-0.362493,-0.10591,-0.117738,-0.177565,-0.289275,-0.0979289,-0.147429,-0.230464,-0.0827056,-0.199263,-0.234852,0.0598157,-0.151412,-0.307549,-0.205175,-0.150089,-0.0689067,-0.15064,-0.181801,-0.334001,0.10418
-5920.6,5,-0.175075,0.0108535,-2.16258,-2.3873,-2.1749,-2.52078,-2.55189,-2.5632,-1.68095,-2.0508,-2.06419,-2.27047,-2.3471,-1.51413,-2.73604,-2.8875,-1.25348,-1.59348,-1.68169,-2.75517,-3.662,-1.27872,-2.2707,-2.7432,-0.461879,-0.487604,-0.362493,-0.10591,-0.117738,-0.177565,-0.289275,-0.0979289,-0.147429,-0.230464,-0.0827056,-0.199263,-0.234852,0.0598157,-0.151412,-0.307549,-0.205175,-0.150089,-0.0689067,-0.15064,-0.181801,-0.334001,0.10418
-5920.6,4,-0.175075,0.0108535,-2.16258,-2.3873,-2.1749,-2.52078,-2.55189,-2.5632,-1.68095,-2.0508,-2.06419,-2.27047,-2.3471,-1.51413,-2.73604,-2.8875,-1.25348,-1.59348,-1.68169,-2.75517,-3.662,-1.27872,-2.2707,-2.7432,-0.461879,-0.487604,-0.362493,-0.10591,-0.117738,-0.177565,-0.289275,-0.0979289,-0.147429,-0.230464,-0.0827056,-0.199263,-0.234852,0.0598157,-0.151412,-0.307549,-0.205175,-0.150089,-0.0689067,-0.15064,-0.181801,-0.334001,0.10418
-5920.6,4,-0.175075,0.0108535,-2.16258,-2.3873,-2.1749,-2.52078,-2.55189,-2.5632,-1.68095,-2.0508,-2.06419,-2.27047,-2.3471,-1.51413,-2.73604,-2.8875,-1.25348,-1.59348,-1.68169,-2.75517,-3.662,-1.27872,-2.2707,-2.7432,-0.461879,-0.487604,-0.362493,-0.10591,-0.117738,-0.177565,-0.289275,-0.0979289,-0.147429,-0.230464,-0.0827056,-0.199263,-0.234852,0.0598157,-0.151412,-0.307549,-0.205175,-0.150089,-0.0689067,-0.15064,-0.181801,-0.334001,0.10418
-5918.29,4,-0.161245,0.0106979,-2.21343,-2.35472,-2.052,-2.47597,-2.56013,-2.59436,-1.69022,-2.06888,-2.03039,-2.24534,-2.45766,-1.55772,-2.76135,-2.9226,-1.2615,-1.62573,-1.6963,-2.8492,-3.71303,-1.35476,-2.24039,-2.88975,-0.44365,-0.50176,-0.396532,-0.153302,-0.0566466,-0.139382,-0.252319,-0.135258,-0.139648,-0.227922,-0.151519,-0.110412,-0.369994,0.00794952,-0.187091,-0.233098,-0.194125,-0.239745,-0.0844288,-0.123319,-0.153575,-0.234952,0.10343
-5923.28,4,-0.207508,0.0209314,-2.61764,-1.87658,-2.7939,-2.38005,-2.39118,-2.25505,-1.60937,-2.19929,-2.16802,-2.20308,-2.09591,-1.47788,-3.00679,-2.62964,-1.59719,-1.62809,-2.22104,-2.92253,-3.77471,-1.66851,-2.22102,-2.98736,-0.221397,-0.0849844,0.000515743,-0.319052,-0.192951,-0.252686,-0.352045,0.0358422,-0.225059,-0.315973,-0.339688,-0.204265,-0.118899,-0.0905353,-0.213884,0.0496165,-0.18335,-0.0956565,-0.260527,-0.263901,-0.290969,-0.279018,0.144677
-5929.02,4,-0.202497,0.0169327,-2.21832,-2.1229,-2.82048,-2.44006,-2.33768,-2.18142,-1.7833,-2.10514,-2.04119,-2.26316,-2.18724,-1.3154,-2.66525,-2.73816,-1.31223,-1.61585,-2.05062,-3.07506,-3.56982,-1.65526,-2.25531,-2.99312,-0.30699,-0.12376,-0.258974,-0.0716443,-0.0924317,-0.416256,-0.410795,-0.197324,-0.228359,-0.257952,-0.631831,-0.238835,-0.334768,-0.222495,-0.0891457,0.130947,-0.162734,-0.177851,-0.0196597,-0.0526098,-0.530736,-0.333774,0.130126
-5927.75,4,-0.230466,0.0235212,-2.55456,-2.33787,-2.30132,-2.39607,-2.4206,-1.86411,-1.74965,-2.09932,-1.85404,-2.14731,-2.60492,-1.54358,-3.28363,-2.86749,-1.20169,-1.56733,-1.7283,-2.63701,-3.72984,-1.27406,-2.05358,-2.80691,-0.174447,-0.529541,-0.269935,-0.161306,-0.200758,-0.186152,-0.315981,-0.220013,-0.400676,-0.374909,-0.0870942,-0.0792191,-0.222051,0.0754643,-0.772343,-0.446157,-0.369111,-0.237583,-0.389056,-0.449129,-0.238872,-0.326106,0.153366
-5930.46,4,-0.269832,0.0476664,-2.08747,-1.86972,-1.66978,-2.39172,-2.56169,-2.52421,-1.64061,-2.08691,-1.97612,-2.23046,-2.19833,-1.25303,-2.8552,-3.10671,-1.58462,-1.57056,-2.23877,-2.88029,-3.51452,-1.59717,-1.9509,-2.93721,-0.410897,-0.300653,-0.451096,-0.382859,0.01135,-0.527303,-0.496073,-0.198181,-0.30368,-0.307095,-0.627791,-0.205456,-0.344642,0.429042,-0.220325,-0.204505,-0.131236,-0.376186,-0.0523401,-0.0323752,-0.558346,-0.677639,0.218326
-5929.05,4,-0.225812,0.0408473,-2.39405,-2.06766,-2.08542,-2.39037,-2.44526,-1.88337,-1.62239,-2.08533,-1.82491,-2.16009,-2.66457,-1.44153,-3.07586,-2.90211,-1.2599,-1.47458,-1.95288,-3.58457,-2.74704,-1.22865,-2.09424,-2.87433,-0.357429,-0.746104,-0.474624,-0.155731,-0.210822,-0.269859,-0.532747,-0.202009,-0.406323,-0.383196,-0.134268,-0.0790342,-0.389917,0.139019,-0.193666,-0.275622,-0.293924,-0.0846888,-0.626199,-0.462043,-0.403272,-0.468144,0.202107
